Date,USD_rate,Inflation_rate,gold_price_USD,gold_price_NPR,interest_rate,festivals/weeding,nepse_index
1/24/2025,137.93,0.0514,2771.3,157303,0.065,0,2662.36
1/23/2025,138.33,0.0514,2753.69,156756,0.065,0,2681.49
1/22/2025,138.12,0.0514,2755.02,156594,0.065,0,2667.23
1/21/2025,138.52,0.0514,2744.39,156442,0.065,0,2618.99
1/20/2025,138.51,0.0514,2708.06,154359,0.065,0,2623.61
1/17/2025,138.58,0.0514,2701.55,154066,0.065,0,2604.01
1/16/2025,138.48,0.0514,2713.77,154651,0.065,0,2616.97
1/15/2025,138.18,0.0514,2695.82,153296,0.065,0,2611.38
1/14/2025,138.61,0.0514,2677.16,152708,0.065,1,2615.55
1/13/2025,138.52,0.0514,2662.12,151752,0.065,1,2654.82
1/10/2025,137.54,0.0514,2689.63,152235,0.065,1,2645.72
1/9/2025,137.36,0.0514,2670.19,150937,0.065,1,2656.61
1/8/2025,137.35,0.0514,2662.06,150467,0.065,1,2672.14
1/7/2025,137.14,0.0514,2649.49,149527,0.065,1,2656.52
1/6/2025,137.32,0.0514,2635.33,148923,0.065,1,2640.73
1/3/2025,137.23,0.0514,2639.12,149040,0.065,1,2592.91
1/2/2025,137.2,0.0514,2657.16,150026,0.065,1,2586.23
1/1/2025,137.03,0.0514,2704.81,152527,0.065,1,2589.42
12/31/2024,136.98,0.0605,2623.81,147905,0.065,1,2613.66
12/30/2024,136.86,0.0605,2605.39,146738,0.065,1,2641.17
12/27/2024,136.85,0.0605,2620.0,147550,0.065,1,2684.32
12/26/2024,136.42,0.0605,2634.43,147897,0.065,1,2639.08
12/25/2024,136.32,0.0605,2634.43,147788,0.065,1,2641.17
12/24/2024,136.32,0.0605,2613.2,146597,0.065,1,2645.2
12/23/2024,136.19,0.0605,2612.93,146442,0.065,1,2612.2
12/20/2024,136.02,0.0605,2620.77,146698,0.065,1,2614.28
12/19/2024,136.11,0.0605,2593.85,145288,0.065,1,2634.57
12/18/2024,135.92,0.0605,2587.63,144737,0.065,1,2656.08
12/17/2024,135.83,0.0605,2645.54,147878,0.065,1,2648.55
12/16/2024,135.78,0.0605,2652.5,148213,0.065,1,2684.32
12/13/2024,135.66,0.0605,2648.39,147852,0.065,1,2641.17
12/12/2024,135.48,0.0605,2681.33,149492,0.065,1,2730.31
12/11/2024,135.73,0.0605,2717.93,151813,0.065,1,2715.71
12/10/2024,135.76,0.0605,2693.64,150489,0.065,1,2694.85
12/9/2024,135.57,0.0605,2658.78,148334,0.065,1,2709.58
